task,seed,readout,beta_pi,lambda_pi,gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
lorenz,42,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.219893306641621,1.0026978103832318,1000.0
mackey_glass,42,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.000084013270724,1.0031255373322188,100.0
narma10,42,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0050575213259392,1.0286246105567851,1000.0
sunspots_annual,42,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9995234980976262,1.0074539038083516,100.0
lorenz,43,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.198290715093382,0.9849328855187488,10.0
mackey_glass,43,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0160409963022743,1.0146030233196015,1000.0
narma10,43,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.995621967920191,1.0403376998832985,1000.0
sunspots_annual,43,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.1086692942319945,1.0969313921460977,1000.0
lorenz,44,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.220053034893492,1.0025888301510617,1000.0
mackey_glass,44,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9999986209315372,1.0027796076571682,100.0
narma10,44,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0061302304581006,1.0277174171232075,1000.0
sunspots_annual,44,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.006380020786919,1.0074736992107838,1000.0
lorenz,45,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.218892342180522,1.0030640645153472,1e-08
mackey_glass,45,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0000588934169954,1.003234459512227,1000.0
narma10,45,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0046245430858716,1.0377561618111442,1000.0
sunspots_annual,45,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.796895272610606,0.929167982973484,10.0
lorenz,46,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.219946084409311,1.0034303591793117,1000.0
mackey_glass,46,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0002088825209112,1.0031069286210943,1000.0
narma10,46,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0054479044363802,1.028372255174853,1000.0
sunspots_annual,46,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0057807602887654,1.009377591337443,1000.0
lorenz,47,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.223617647443027,1.0025137024039563,1000.0
mackey_glass,47,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.997187016372039,1.0064162596818145,1000.0
narma10,47,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.014566827175739,1.030118971673448,1000.0
sunspots_annual,47,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0052821837946584,1.0069472862334348,1000.0
lorenz,48,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.249039185567646,0.9962673094835288,1000.0
mackey_glass,48,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0042776754781688,0.991161510059565,1000.0
narma10,48,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0065419296037097,1.0549517014186365,1e-08
sunspots_annual,48,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0058399137094567,1.010034572725538,1000.0
lorenz,49,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.180269216122174,1.0071587641237996,1e-08
mackey_glass,49,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0061477282655251,0.9987520810200377,1000.0
narma10,49,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0101212663619323,1.026952698543789,1000.0
sunspots_annual,49,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.032685998910304,1.048181873410675,1000.0
lorenz,50,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.2192991459635514,1.0017484650816026,1000.0
mackey_glass,50,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0007297292385424,1.0028823434857288,1000.0
narma10,50,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0092975983569517,1.0253200753046865,1000.0
sunspots_annual,50,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.3347078502488127,0.5315792145771769,1e-08
lorenz,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.2198914943725128,1.0032130581132914,1000.0
mackey_glass,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0025879599059064,1.0031745418554134,1000.0
narma10,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0089581510364376,1.040629187161953,1000.0
sunspots_annual,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0072140656580664,1.0083937441734423,1000.0
lorenz,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.290030138404305,1.022073445036177,1000.0
mackey_glass,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0047582038564926,1.024076244734976,1000.0
narma10,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9820194520951095,1.0204130557995224,100.0
sunspots_annual,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.004670052230118,1.0079029479277115,1000.0
lorenz,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.1950126131879757,0.9642669256952896,100.0
mackey_glass,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9977593692641034,0.9982000219104716,1.0
narma10,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0075521413342547,1.064119281167413,1e-08
sunspots_annual,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.008464811274672,1.0044537134089262,1000.0
lorenz,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.1952311230674297,1.0148531858958376,1e-08
mackey_glass,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9997176449309576,1.0042045444798384,1000.0
narma10,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0000946646194622,1.0306597174708283,100.0
sunspots_annual,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0064053618820217,1.0093434541200126,1000.0
lorenz,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.219222682748739,0.9982991507890344,1000.0
mackey_glass,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0009636758549267,0.9997540181447434,1000.0
narma10,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0089667908046074,1.0243400066725792,1000.0
sunspots_annual,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0074227913742155,1.0100491830274414,1000.0
lorenz,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.221393656874914,1.0232962432163566,1000.0
mackey_glass,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.004715035013941,1.0107858705902484,1000.0
narma10,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0071268781381078,1.029226069602132,1000.0
sunspots_annual,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.973134499810575,1.1143231249399168,1.0
lorenz,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.2948866199709017,0.991845696678385,1000.0
mackey_glass,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0018478813327143,1.0038816261475274,1000.0
narma10,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.000995860907489,1.0256131112306568,100.0
sunspots_annual,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0064900996846993,1.008289710190186,1000.0
lorenz,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.2202213280933885,1.0051261187133709,1000.0
mackey_glass,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9993935422895298,1.0037500625702471,1e-08
narma10,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.001473650298648,1.0299625875838458,1e-08
sunspots_annual,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0045719574443115,1.010143519589573,1000.0
lorenz,59,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.221625854239006,1.0034032119370115,1000.0
mackey_glass,59,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.001520758747587,0.9975046550999582,1000.0
